afiseazaProduse,2022-05-26 14:00:54.92
closeApp,2022-05-26 14:01:41.617
loginAngajat,2022-05-26 14:03:32.558
afiseazaProduse,2022-05-26 14:03:37.025
stergeBautura,2022-05-26 14:03:46.108
afiseazaProduse,2022-05-26 14:03:47.452
loginAngajat,2022-05-26 14:09:38.361
afiseazaProduse,2022-05-26 14:09:45.333
adaugaBautura,2022-05-26 14:10:22.566
afiseazaProduse,2022-05-26 14:10:25.614
modificaBautura,2022-05-26 14:10:49.785
afiseazaProduse,2022-05-26 14:10:51.925
stergeBautura,2022-05-26 14:11:04.578
afiseazaProduse,2022-05-26 14:11:12.27
afiseazaRezervari,2022-05-26 14:13:20.787
afiseazaRezervari,2022-05-26 14:13:38.011
afiseazaClienti,2022-05-26 14:13:47.686
adaugaRezervare,2022-05-26 14:14:07.868
afiseazaRezervari,2022-05-26 14:14:09.966
afiseazaClienti,2022-05-26 14:14:23.85
stergeClient,2022-05-26 14:14:46.611
afiseazaRezervari,2022-05-26 14:14:51.061
closeApp,2022-05-26 14:15:07.691
loginAngajat,2022-05-26 14:15:28.701
afiseazaClienti,2022-05-26 14:15:31.053
afiseazaRezervari,2022-05-26 14:15:37.018
stergeRezervare,2022-05-26 14:16:02.582
afiseazaRezervari,2022-05-26 14:16:04.746
afiseazaClienti,2022-05-26 14:16:10.052
adaugaClient,2022-05-26 14:16:24.855
afiseazaClienti,2022-05-26 14:16:26.81
adaugaRezervare,2022-05-26 14:16:46.976
afiseazaRezervari,2022-05-26 14:16:49.695
stergeClient,2022-05-26 14:17:01.966
afiseazaClienti,2022-05-26 14:17:04.009
closeApp,2022-05-26 14:17:09.761
loginAngajat,2022-05-26 14:17:36.837
afiseazaRezervari,2022-05-26 14:17:41.844
adaugaRezervare,2022-05-26 14:19:28.314
closeApp,2022-05-26 14:20:16.724
loginClient,2022-05-26 14:21:46.001
afiseazaRezervariDupaClient,2022-05-26 14:21:51.041
adaugaRezervare,2022-05-26 14:21:59.084
afiseazaRezervariDupaClient,2022-05-26 14:22:01.167
closeApp,2022-05-26 14:22:05.985
loginAngajat,2022-05-26 14:22:14.514
afiseazaRezervari,2022-05-26 14:22:17.629
adaugaRezervare,2022-05-26 14:22:31.391
afiseazaRezervari,2022-05-26 14:22:33.575
stergeRezervare,2022-05-26 14:22:43.14
afiseazaRezervari,2022-05-26 14:22:44.962
closeApp,2022-05-26 14:22:52.068
loginAngajat,2022-05-27 13:33:24.665
afiseazaClienti,2022-05-27 13:33:36.138
afiseazaProduse,2022-05-27 13:33:45.806
adaugaBautura,2022-05-27 13:34:08.763
afiseazaProduse,2022-05-27 13:34:12.098
modificaBautura,2022-05-27 13:34:49.234
afiseazaProduse,2022-05-27 13:34:52.366
stergeBautura,2022-05-27 13:35:00.801
closeApp,2022-05-27 13:35:05.717
loginAngajat,2022-07-18 15:22:05.065
afiseazaClienti,2022-07-18 15:22:07.193
closeApp,2022-07-18 15:22:13.145
